#,Odaberite spol,Koja je vaša dobna skupina?,Imate li trenutno status studenta?,Kakvo je vaše misljenje o INI kao poslodavcu?,Koliko vežete pojam 'INA' uz Hrvatsku i hrvatski nacionalani identitet?,Smatrate li da biste bili zadovoljni kao zaposlenik sa nekim od grana poslovanja koje INA nudi?,Vidite li sebe u budućnosti kao mogućeg zaposlenika INA grupacije?,Koje područje poslovanja INA grupacije smatrate osobno najzanimljivijim?,Industrija,Kreativnost,Ekologija,Znanost,Energetika,Hrvatska,Na što Vas asocira riječ   'karijera'  ?
0d988a8f61174947f1ba289d6a9558f5,žensko,od 21 do 23,1,6,8,1,1,Financije,Industrija,,,,,Hrvatska,Uspjeh
2353a23ecab5cda66f2f5a5632da0832,žensko,od 21 do 23,1,5,6,1,1,Rafinerije i marketing,Industrija,,,,Energetika,,a
67f7956be368663306b5945769270108,žensko,od 21 do 23,1,5,5,0,0,Istraživanje i proizvodnja nafte i plina,Industrija,,,,,,Asocira me na zanimanje koje je osoba odabrala. 
45e63485d9547acac0e326982a5267a1,žensko,od 21 do 23,1,5,6,0,0,Istraživanje i proizvodnja nafte i plina,Industrija,,Ekologija,,,,g
012ac4597a22b7243fc2c65bf70dff3d,žensko,od 21 do 23,1,5,7,0,0,Istraživanje i proizvodnja nafte i plina,Industrija,,,,Energetika,,posao koji izgrađuje život
15565462cd276ffdb7b5a5c171ada782,žensko,od 21 do 23,1,6,7,0,0,Istraživanje i proizvodnja nafte i plina,Industrija,,,,Energetika,,uspjesi i postignuca u radnom okruzenju
0374a90afe5ca89e29729a28dcdaaaf3,žensko,od 21 do 23,1,5,6,0,0,Istraživanje i proizvodnja nafte i plina,Industrija,,,,Energetika,,"Pristojan život, puno novaca"
2448600e5c981a3cf1cb3975273865e6,žensko,od 18 do 20,1,5,6,1,0,Istraživanje i proizvodnja nafte i plina,,,Ekologija,,Energetika,,Uspješan posao
56f3a76980651b1d35f985c283bf7608,muško,27 ili stariji,0,8,6,1,1,Financije,,,,,Energetika,,"radni period u zivotu osobe u kojem osoba uci zanat/poziv/zanimanje i usavrsava se, te svojim djelima utjece na okruzenje"
f205c982c366a7230065de52255aeff2,žensko,od 18 do 20,1,5,6,0,0,Logistička potpora,Industrija,,,,Energetika,,"posao, napredak"
23963617a98f18f6447c10f45dad14c9,žensko,od 18 do 20,1,5,6,0,0,Istraživanje i proizvodnja nafte i plina,Industrija,,,,,,uspjeh
c56a36f2e612da3fecf466b7fc0093a3,žensko,od 18 do 20,1,3,3,0,0,Istraživanje i proizvodnja nafte i plina,Industrija,,,,,,Zivotna preokupacija
6955563a75c4db712944d1977f1f1eec,žensko,od 21 do 23,1,3,6,0,0,Istraživanje i proizvodnja nafte i plina,Industrija,,,,,,"Rad,rad i rad."
4cfd3ac434ae45147c3263e9f354d5ce,žensko,od 21 do 23,1,5,6,1,0,IT potpora,Industrija,,,,Energetika,Hrvatska,Dio životnog vijeka u kojem se obavlja određeni posao što ljudi koji su rođeni u devedesetima i kasnije nikada neće imati
99c40442d5b5c52612b1f98037413703,žensko,od 18 do 20,1,6,8,1,1,Istraživanje i proizvodnja nafte i plina,Industrija,,Ekologija,,,Hrvatska,Rad i trud
40a7b00bfde07a7088b50850e2dd9fad,žensko,od 21 do 23,1,5,3,0,0,Istraživanje i proizvodnja nafte i plina,,,,,Energetika,,"uspjeh, posao"
0acb654244d9b1ac5cd0f2a1dbea6af6,žensko,od 18 do 20,1,5,5,0,0,IT potpora,Industrija,,,,,,napredovanje u poslu
054dfc20b8655c72c68a972848f1c8b1,muško,od 18 do 20,1,5,9,1,1,Istraživanje i proizvodnja nafte i plina,Industrija,,,,,,"Napredovanje na poslu, potpuna posvećenost svom radu "
2d4e3affa1d07f17e939971ba3fa21e0,žensko,od 21 do 23,1,5,8,1,0,Rafinerije i marketing,Industrija,,,,,,znanje
3992fa84c43d0fe084d65a54b37b9afa,žensko,od 18 do 20,1,6,9,0,0,Istraživanje i proizvodnja nafte i plina,Industrija,,,,Energetika,Hrvatska,izgrađen posao
3be2f941d77758861bdc6aff99438542,žensko,od 21 do 23,1,5,3,1,1,Logistička potpora,Industrija,,,,Energetika,,Konstantno napredovanje i usavrsavanje svog znanja u podrucju ili vise njih koje osobu zanima
513b97b71e1dcfbdf909acfa59c44910,žensko,od 18 do 20,1,5,3,0,0,Istraživanje i proizvodnja nafte i plina,Industrija,,,,,,A
2f90c38ab79ffabf8ac37c4288016c0b,žensko,od 21 do 23,1,5,4,0,0,IT potpora,Industrija,,,,Energetika,,Ispunjenje poslovnih želja i mogućnosti.
dfca0ce55c6d636cbe87416450a21bf2,žensko,od 18 do 20,1,5,7,1,0,Rafinerije i marketing,,,,,Energetika,,Posao
4abf577fc97e7bb49e5bd1f1384bead7,žensko,od 18 do 20,0,7,8,1,0,Istraživanje i proizvodnja nafte i plina,Industrija,,,,,,"Dobra plaća, rad i zasluženi odmor"
8490e9aa8aa141a49f78fe5efc973c35,muško,od 21 do 23,1,5,1,0,0,IT potpora,,,,,Energetika,,posao
82154a701ce1476540a3d0d0da6a8699,žensko,od 18 do 20,1,5,5,1,0,Logistička potpora,Industrija,,,,,,Budućnost
10b1aa5d5e9b9ec431467dc627eba4d9,žensko,od 21 do 23,1,9,9,1,1,Istraživanje i proizvodnja nafte i plina,Industrija,,,,,,INA
655ec3f90db6501d11584adeb46c8ca2,žensko,od 21 do 23,1,7,7,1,1,Rafinerije i marketing,,,,,Energetika,,Uspjeh
fbc3d6bea182f522928f76668af94ccb,žensko,od 21 do 23,1,7,7,0,0,Istraživanje i proizvodnja nafte i plina,,,,,Energetika,,Novac
8fd8dd6401bb09239e660ba67532baed,muško,do 17,0,5,5,0,0,Istraživanje i proizvodnja nafte i plina,Industrija,,,,Energetika,,posao koj bi radio do kraja zivota
5a795e1f660c8c0abb0ba198dfe474b0,žensko,od 21 do 23,1,6,6,1,1,Financije,Industrija,,,,Energetika,,"Posao, budućnost, napredovanje"
4869c5ac8026b8709804aaf635bfaea3,muško,od 18 do 20,1,4,3,0,0,IT potpora,Industrija,,,,Energetika,,Mogucnost napredovanja u poslu
950637d8d5ee0a98af6e67d886c2ef6c,žensko,od 21 do 23,1,5,5,1,0,Istraživanje i proizvodnja nafte i plina,,,,,Energetika,,"Ambicioznost, ustrajnost, uspjeh"
bcd60005fb48b5df044a565de767adca,žensko,od 21 do 23,1,5,4,0,0,Rafinerije i marketing,Industrija,,,,Energetika,,"Na napredovanje, ubrzani životni ritam, borbu"
a40650d2073b1d19f7b01793659b03dd,muško,od 21 do 23,1,5,7,1,0,IT potpora,,Kreativnost,,,,,Uspjeh u onome što najviše želim
b789b8301ce2d8dab4bcd579b9ea0abd,muško,od 21 do 23,1,6,6,1,0,Rafinerije i marketing,,,,Znanost,,Hrvatska,postignuce
ce3567efe51fe68f37c6bbaa19fefc1d,muško,od 21 do 23,1,4,6,0,0,Financije,,,,,Energetika,,Zivotni proces uspijevanja i unaprijedivanja samoga sebe u vlastito izabranoj privrednoj grani
45ce838b5a18d0fe850ac72654516650,žensko,od 21 do 23,1,6,6,0,0,Istraživanje i proizvodnja nafte i plina,,,,,Energetika,,budući posao.
ae6f2e115f70d30b2d895d2199efe344,žensko,od 21 do 23,1,5,5,0,0,Financije,,,,,Energetika,,Posao
bacccce1ca912e721b942fe64c15173d,žensko,od 21 do 23,1,5,3,1,0,Istraživanje i proizvodnja nafte i plina,,,,,Energetika,,napredak
bfc14c04602ba0913062e8c1555ed1b4,žensko,od 21 do 23,1,5,8,0,0,Istraživanje i proizvodnja nafte i plina,Industrija,,,,Energetika,Hrvatska,Niz poslovnih uspjeha.
e6960f1e8b91f7a738a8b4f4ff616c93,žensko,od 21 do 23,1,5,1,1,0,Istraživanje i proizvodnja nafte i plina,Industrija,,,Znanost,Energetika,,na cilj u zivotu
9bae7425010db88a0df4f189090d1eda,muško,od 18 do 20,1,5,5,1,0,IT potpora,,,,,Energetika,,Mogućnost osobnog napredovanja zbog stjecanja ugleda u određenoj struci i zarade.
787f9bc6b3e7ac31fa7ba0530d8b8faf,žensko,od 21 do 23,1,5,3,1,0,Logistička potpora,Industrija,,,,,,"karijera me asocira na odijela,gradski život,dosadan posao"
b7fed07e9bdd5b810f4b48e9a02e437b,muško,od 18 do 20,1,5,1,1,0,IT potpora,,,,,Energetika,,
03e37fe35247cae642df11963c7c36c3,muško,od 18 do 20,1,4,3,0,0,Rafinerije i marketing,Industrija,,,,Energetika,,Asocira me na uspjeh kojeg su mi omogućili diploma i znanje.
6ca5730bb72959e8f5a1a4981d00f544,muško,od 21 do 23,1,8,9,0,0,Logistička potpora,Industrija,,,,Energetika,Hrvatska,Ljudi
27c072617f8eb0122bc0c0803ac5e69e,žensko,od 18 do 20,1,6,4,1,0,Istraživanje i proizvodnja nafte i plina,Industrija,,Ekologija,,Energetika,,profesija koja osigurava budućnost ljudi
43d85426a310dcf7e0debfeebcf2b33e,muško,od 21 do 23,1,7,5,0,0,IT potpora,Industrija,,,,Energetika,,"Odabrani posao, kojim pokušavaš napraviti bolju budućnost "
f4c0c3c4579e75e737eae3d3db5221df,žensko,od 24 do 26,0,5,5,1,0,Financije,Industrija,,,,,,"Postizanje zacrtanih ciljeva u određenom smjeru do onog krajnjeg, najvećeg, najboljeg cilja."
662892868de5e4c2feea7a9bb408699a,muško,od 24 do 26,1,9,9,1,1,Financije,Industrija,,,,,,"Normalan zivot, sa samo većom plaćom od prosjeka "
86aa7b289ea9b946599d1ce224458d52,žensko,od 21 do 23,1,7,7,1,0,Rafinerije i marketing,Industrija,,,,Energetika,,stavljanje svojih želja i ambicija ispred potreba svojih bližnjih
d3a6bdafde3727e25952eeb3d18fefe4,muško,od 21 do 23,1,5,4,1,1,Rafinerije i marketing,,,,,Energetika,,"Stvara se u poslovnom svijetu, usko vezana isključivo na posao i raste radom i zalaganjem osobe u onome čime se bavi."
1febc757ad1c6b09130f3f42c7864ab4,muško,od 21 do 23,1,5,7,1,0,Istraživanje i proizvodnja nafte i plina,Industrija,,,,Energetika,,Znanje
99a22c356b7f7d13de87014752e69db1,žensko,od 18 do 20,1,5,7,0,0,Istraživanje i proizvodnja nafte i plina,,,,,Energetika,,"Jedna od glavnih zanimacija za život, kako za preživljavanje fizičkog, tako i duhovnog dijela čovjeka."
5128fe54221ef97ee539cc8d978376a8,muško,od 18 do 20,1,5,6,1,0,IT potpora,,,,,Energetika,,Posao u koji ću uložiti životni trud.
4dd94328d07f185494cebc43ba5263b6,muško,od 21 do 23,1,5,5,0,1,Financije,,,,,Energetika,,Uspjeh
a92db3e897da4dd49a41c38245b235a0,muško,od 21 do 23,1,3,1,0,0,Istraživanje i proizvodnja nafte i plina,,,,,Energetika,,nista
68287fde0d263013516def6be40e419f,žensko,od 18 do 20,1,5,7,1,1,Financije,,,,,Energetika,,uspjeh u poslovnom smislu
cd9f5d6eb28a10fa668c6d7d63eb84c4,muško,od 21 do 23,1,5,7,0,0,Financije,,,Ekologija,,Energetika,,Karijera označava period u životu u kojem se bavimo svojim zanimanjem s mogućnošću napretka i vlastite nadgradnje.
a3c88a2f9df0f5b0077d69aebb27641e,muško,od 21 do 23,1,6,6,1,0,Logistička potpora,Industrija,,,,,,
3e96f733971e492665f59582925b970b,muško,od 21 do 23,1,5,3,1,0,Logistička potpora,Industrija,,,,,,Cjelodnevna preokupacija. Mogućnost beskonačnog usavršavanja.
3eeaf70979b1a80c4586742333728406,žensko,od 18 do 20,1,4,2,1,0,Rafinerije i marketing,Industrija,,,,Energetika,,Imati odličan posao sa dobrom plaćom i biti netko bitan u poslovnom svijetu.
